tconst,primaryTitle,startYear,runtimeMinutes,rating,primaryGenre_Adult,primaryGenre_Adventure,primaryGenre_Animation,primaryGenre_Biography,primaryGenre_Comedy,primaryGenre_Crime,primaryGenre_Documentary,primaryGenre_Drama,primaryGenre_Family,primaryGenre_Fantasy,primaryGenre_Film-Noir,primaryGenre_History,primaryGenre_Horror,primaryGenre_Music,primaryGenre_Musical,primaryGenre_Mystery,primaryGenre_News,primaryGenre_Reality-TV,primaryGenre_Romance,primaryGenre_Sci-Fi,primaryGenre_Short,primaryGenre_Sport,primaryGenre_Thriller,primaryGenre_War,primaryGenre_Western,primaryGenre_\N,directors_count,actor1_count,actor2_count
tt0111161,The Shawshank Redemption,1994,142,9.295190839398924,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,5,8
tt0068646,The Godfather,1972,175,9.193353676541324,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,13,6
tt0468569,The Dark Knight,2008,152,8.995661363912964,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,17,3
tt0167260,The Lord of the Rings: The Return of the King,2003,201,8.993708963948812,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,7,2
tt0108052,Schindler's List,1993,195,8.991416261538365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,9,6
tt0071562,The Godfather Part II,1974,202,8.990861416244048,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,18,8
tt0050083,12 Angry Men,1957,96,8.985821595483738,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,12,1
tt0252487,The Chaos Class,1975,85,8.915648878931437,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,9,4
tt0110912,Pulp Fiction,1994,154,8.894602241089277,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,6,1
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8940371109591,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,7,4
tt1375666,Inception,2010,148,8.795494340902927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,20,4
tt0137523,Fight Club,1999,139,8.795084941135146,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,19,8
tt0109830,Forrest Gump,1994,142,8.794921039068997,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,33,2
tt0167261,The Lord of the Rings: The Two Towers,2002,179,8.793563352484284,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,7,4
tt0060196,"The Good, the Bad and the Ugly",1966,178,8.78589116634258,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,22,1
tt2592910,CM101MMXI Fundamentals,2013,139,8.754833940152604,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,12,278
tt23849204,12th Fail,2023,147,8.718169539226363,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,1
tt0816692,Interstellar,2014,169,8.694957882776022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,10,5
tt0133093,The Matrix,1999,136,8.694635207424326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,13,9
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.691992237434619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3,4
tt0099685,Goodfellas,1990,145,8.691274035119996,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,21,2
tt0073486,One Flew Over the Cuckoo's Nest,1975,133,8.689696932080594,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,10,1
tt15097216,Jai Bhim,2021,164,8.649958699541234,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,10,1
tt10189514,Soorarai Pottru,2020,153,8.613355774657796,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,10,2
tt0114369,Se7en,1995,127,8.594186608113322,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,7,8
tt0102926,The Silence of the Lambs,1991,118,8.593225525533315,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,5,5
tt0120815,Saving Private Ryan,1998,169,8.592962667558837,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,33,10
tt0076759,Star Wars: Episode IV - A New Hope,1977,121,8.592693725217503,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,4
